id,feature,price,notes,max count,group
0,Tongue Out,$3000,iOS only,1,
1,Mouth Skew,$500,iOS only,1,
2,Cheek Puff,$500,iOS only,1,
3,Animal Ears,$1000+,Default movement synced with blinking.,,
4,Tail,$1000+,,,
5,Additional Parts,$1000+,"Wings horns and others",,
6,Switchable Chibi Form,$3000+,,,
7,Simple Idle Animation,$500+,"Waving hand tears tail movement",,
8,Advanced Idle Animation,$1500+,Sleeping with lost face tracking,,
9,Special Mouth Shapes,$500+,"Cat mouth and others",,
10,3x4 Mouth Rig,$1000,,1,mouth
11,4x4 Mouth Rig,$1500,,1,mouth
12,Accessory Toggle,$500+,Simple accessory switching,,
13,Hotkey Expression / Effect,$500+,"Heart eyes sparkle eyes dizzy eyes",,
14,Other Animation Actions,$1500+,,,
15,Mascot,$2000+,,,
16,VBridger Tracking,$3000+,Requires purchasing VBridger plugin separately,1,
17,Hand Toggles,$1500+,Switchable hand poses,5,
18,Game Controller Hand Animation,$3000+,,,
19,Drawing Tablet Position Detection,$3000+,,,
20,Hair Toggles,$1500+,"Simple bangs ponytail hair color switching",,
21,Additional Hairstyle,$3000+,Complete hairstyle switching,,
22,Outfit Toggles,$2000+,Simple clothing switching,,
23,Additional Outfit Set,$5000+,Complete outfit replacement,,
24,Additional Revisions,$2000+,"Each stage includes 2 revisions. Additional revisions will incur extra charges.",,
