id,feature,price,notes,max count,group
0,吐舌,$3000,iOS only,1,
1,歪嘴,$500,iOS only,1,
2,嘟嘴,$500,iOS only,1,
3,獸耳,$1000+,預設眨眼晃動,,
4,尾巴,$1000+,,,
5,其他追加部件,$1000+,翅膀、犄角,,
6,切換Q版,$3000+,,,
7,簡易待機動畫,$500+,揮手、流淚、尾巴晃動,,
8,進階待機動畫,$1500+,失去面補睡覺,,
9,特殊O型,$500+,貓嘴、其他,,
10,3×4 O型,$1000,,1,mouth
11,4×4 O型,$1500,,1,mouth
12,配件開關,$500+,簡易之配件切換,,
13,按鍵表情／特效,$500+,愛心眼、閃亮亮、暈眩眼,,
14,其他動畫動作,$1500+,,,
15,吉祥物,$2000+,,,
16,VBridger表情,$3000+,需自行另購VBridger插件,1,
17,手差分,$1500+,切換手部動作,5,
18,遊戲手把手部動作,$3000+,,,
19,繪圖版合位偵測,$3000+,,,
20,頭髮差分,$1500+,簡易瀏海、馬尾、髮色切換,,
21,追加一組頭髮,$3000+,完整髮型切換,,
22,服裝差分,$2000+,簡易之衣物切換,,
23,追加一套服裝,$5000+,整套衣物換裝,,
24,增加階段修改次數,$2000+,每階段預設可修改2次超過後需加價,,
